id,source,token,direction,trade_type,entry_price,tp1_price,tp2_price,tp3_price,stop_loss,leverage,conviction,edge_score,kronos,kill_clock_hours,kill_clock_expires,outcome,pnl_pct,resolved_at,archetype,classification_source,scope,created_at
745,signals_tab,DOGE,LONG,,0.09569600,0.09810000,,,0.09430000,2x,30,,f,24,2026-04-22 10:44:32.105,SL_HIT,-1.4588,2026-04-21 17:13:11.013,,,global,2026-04-21 10:44:32.115792
744,signals_tab,ETH,LONG,,2331.10000000,2389.38000000,,,2296.13000000,2x,59,,f,24,2026-04-22 10:44:32.09,SL_HIT,-1.5002,2026-04-21 12:44:35.249,,,global,2026-04-21 10:44:32.101205
743,signals_tab,BTC,LONG,,76524.00000000,78437.10000000,,,75376.14000000,2x,47,,f,24,2026-04-22 10:44:32.086,SL_HIT,-1.5000,2026-04-21 17:16:45.225,,,global,2026-04-21 10:44:32.088177
742,phase2a_scorer,EURUSD,SHORT,,1.17633224,,,,,,0,,f,,,EXPIRED_LOSS,,,,,global,2026-04-21 10:42:24.024951
741,phase2a_scorer,SPY,LONG,,708.71997070,,,,,,0,,f,,,EXPIRED_LOSS,,,,,global,2026-04-21 10:42:23.80268
740,signals_tab,TAO,LONG,,248.59000000,254.80000000,,,244.86000000,2x,35,,f,24,2026-04-22 10:41:16.772,SL_HIT,-1.5005,2026-04-21 14:07:44.27,,,global,2026-04-21 10:41:16.774111
739,signals_tab,NEAR,SHORT,,1.39140000,1.35700000,,,1.41200000,2x,42,,f,24,2026-04-22 10:41:16.763,TP1_HIT,2.4723,2026-04-21 17:20:45.217,,,global,2026-04-21 10:41:16.766162
738,signals_tab,DOGE,LONG,,0.09561400,0.09800000,,,0.09420000,2x,37,,f,24,2026-04-22 10:41:16.75,SL_HIT,-1.4789,2026-04-21 17:16:10.98,,,global,2026-04-21 10:41:16.751622
737,signals_tab,WIF,SHORT,,0.20104000,0.19600000,,,0.20410000,2x,40,,f,24,2026-04-22 10:41:16.737,TP1_HIT,2.5070,2026-04-21 17:16:10.98,,,global,2026-04-21 10:41:16.748151
736,signals_tab,SOL,SHORT,,85.87600000,83.72900000,,,87.16400000,2x,45,,f,24,2026-04-22 10:41:16.732,SL_HIT,-1.4998,2026-04-22 11:43:38.564,,,global,2026-04-21 10:41:16.735649
735,signals_tab,DOT,LONG,,1.28200000,1.31400000,,,1.26300000,2x,26,,f,24,2026-04-22 10:33:20.839,SL_HIT,-1.4821,2026-04-21 17:17:45.232,,,global,2026-04-21 10:33:20.841379
734,signals_tab,BNB,LONG,,638.08000000,654.03000000,,,628.51000000,2x,23,,f,24,2026-04-22 10:33:20.806,SL_HIT,-1.4998,2026-04-21 17:17:45.232,,,global,2026-04-21 10:33:20.835226
733,signals_tab,DOGE,LONG,,0.09558700,0.09800000,,,0.09420000,2x,23,,f,24,2026-04-22 10:33:20.789,SL_HIT,-1.4510,2026-04-21 17:16:10.98,,,global,2026-04-21 10:33:20.801491
732,signals_tab,ETH,LONG,,2327.10000000,2385.28000000,,,2292.19000000,2x,34,,f,24,2026-04-22 10:33:20.773,SL_HIT,-1.5002,2026-04-21 17:18:45.209,,,global,2026-04-21 10:33:20.784355
731,signals_tab,BTC,LONG,,76479.00000000,78390.98000000,,,75331.82000000,2x,29,,f,24,2026-04-22 10:33:20.769,SL_HIT,-1.5000,2026-04-21 17:17:45.232,,,global,2026-04-21 10:33:20.772268
730,signals_tab,WIF,SHORT,,0.19864000,0.19370000,,,0.20160000,2x,33,,f,24,2026-04-22 04:07:44.83,SL_HIT,-1.4901,2026-04-21 10:56:00.914,,,global,2026-04-21 04:07:44.831709
729,signals_tab,HYPE,SHORT,,41.27300000,40.24100000,,,41.89200000,2x,49,,f,24,2026-04-22 04:07:39.91,TP1_HIT,2.5004,2026-04-21 13:39:44.184,,,global,2026-04-21 04:07:39.919158
728,signals_tab,TRUMP,SHORT,,2.84430000,2.77300000,,,2.88700000,2x,33,,f,24,2026-04-22 04:07:39.906,SL_HIT,-1.5012,2026-04-21 11:35:14.905,,,global,2026-04-21 04:07:39.908647
727,signals_tab,NEAR,SHORT,,1.35440000,1.32100000,,,1.37500000,2x,30,,f,24,2026-04-22 04:07:39.898,SL_HIT,-1.5210,2026-04-21 10:31:15.36,,,global,2026-04-21 04:07:39.899758
